ExactMolWt,SMR_VSA2,EState_VSA9,fr_phenol,fr_priamide,fr_Ar_N,fr_Nhpyrrole,MinEStateIndex,fr_piperzine,SMR_VSA4,fr_ArN,RingCount,fr_morpholine,PEOE_VSA13,SMR_VSA5,fr_nitrile,EState_VSA4,BCUT2D_CHGLO,EState_VSA11,fr_NH0,PEOE_VSA7,VSA_EState7,VSA_EState4,NumRotatableBonds,fr_thiophene,fr_sulfonamd,SlogP_VSA6,PEOE_VSA2,SlogP_VSA12,SMR_VSA1,EState_VSA8,BCUT2D_LOGPLOW,Kappa3,MinAbsPartialCharge,BCUT2D_LOGPHI,EState_VSA10,EState_VSA2,fr_imide,NumAromaticHeterocycles,fr_unbrch_alkane,fr_alkyl_halide,fr_aniline,fr_NH2,MinAbsEStateIndex,SMR_VSA3,VSA_EState9,MaxAbsPartialCharge,fr_hdrzine,Chi4v,fr_C_O,fr_piperdine,SlogP_VSA10,MaxEStateIndex,PEOE_VSA10,SlogP_VSA7,fr_para_hydroxylation,fr_sulfone,fr_furan,SlogP_VSA2,fr_urea,fr_aryl_methyl,fr_methoxy,fr_nitro_arom_nonortho,fr_guanido,AvgIpc,PEOE_VSA14,fr_amide,BCUT2D_MRHI,EState_VSA3,fr_nitro,NumAliphaticCarbocycles,VSA_EState5,fr_NH1,SMR_VSA9,fr_thiazole,fr_Imine,SlogP_VSA5,EState_VSA7,VSA_EState1,NumAliphaticHeterocycles,fr_C_S,FpDensityMorgan1,NumAromaticCarbocycles,PEOE_VSA5,NumSaturatedHeterocycles,VSA_EState10,NumAromaticRings,qed,fr_allylic_oxid,fr_halogen,PEOE_VSA9,SlogP_VSA4,FpDensityMorgan3,fr_oxazole,PEOE_VSA12,fr_sulfide,SMR_VSA6,SPS,BCUT2D_MRLOW,SlogP_VSA3,fr_ketone,fr_Ndealkylation1,NOCount,PEOE_VSA11,FractionCSP3,PEOE_VSA4,SlogP_VSA1,EState_VSA1,fr_pyridine,fr_hdrzone,fr_amidine,fr_ketone_Topliss,fr_ether,BalabanJ,fr_Ndealkylation2,fr_Al_COO,NumSaturatedRings,BCUT2D_CHGHI,NHOHCount,PEOE_VSA1,fr_Al_OH_noTert,fr_quatN,fr_azo,fr_bicyclic,MolLogP,PEOE_VSA3,fr_epoxide,EState_VSA5,fr_imidazole,PEOE_VSA8,BCUT2D_MWLOW,Ipc,NumAliphaticRings,BCUT2D_MWHI,fr_aldehyde,PEOE_VSA6,fr_alkyl_carbamate,fr_lactone,SMR_VSA10,SlogP_VSA8,EState_VSA6,fr_oxime,VSA_EState8,fr_ester,"IC50, mM","CC50, mM",SI,pIC50,pCC50,log10_SI,class_IC50_above_med,class_CC50_above_med,class_SI_above_med,class_SI_above_8
632.66740436836,0.0,0.0,0,0,0,0,1.374614197530864,6,0.0,0,6,0,0.0,161.5263717266795,0,0.0,-2.558338371727696,0.0,4,44.94575136048208,33.92327547685432,0.0,28,0,0,0.0,0.0,0.0,17.9321234307785,13.84747439938125,-2.749091542282787,12.66625545430636,0.1288373325795325,2.301594233440568,0.0,0.0,0,0,20,0,0,0,1.374614197530864,0.0,0.0,0.3096363485908281,0,10.16937079672069,0,0,0.0,2.321942215462859,78.5370768709509,0.0,0,0,0,122.6482259253797,0,0,0,0,0,3.080047832018386,0.0,0,4.652069465013644,0.0,0,0,0.0,0,0.0,0,0,161.5263717266795,0.0,5.986510474534207,6,0,0.2222222222222222,0,0.0,6,0.0,0,0.05956677724786782,0,0,26.1790256236503,0.0,0.5777777777777777,0,0.0,0,104.7161024946012,30.8,-1.080944443718876,0.0,0,0,4,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0.976808129957814,0,0,6,2.491377862572315,0,17.9321234307785,0,4,0,6,9.320100000000002,0.0,0,270.3271232526779,0,0.0,10.01688271236348,12302580600.18537,6,15.53279123699119,0,116.5806203661974,0,0,0.0,0.0,0.0,0,28.59021404861146,0,3.790552994299956,15.32015168529565,4.041666666666667,2.4212974272736694,1.8147369347190307,0.6065604925546388,0,0,1,0
335.261300056,0.0,0.0,0,0,1,0,0.3504421768707481,0,11.33289651555817,0,4,0,0.0,77.6767098348633,0,5.917906046161393,-2.55443202747507,0.0,1,77.1721681348346,11.16661604405562,5.553143710671444,3,0,0,42.7255224855342,0.0,0.0,0.0,74.98757093208803,-2.501268796672481,2.762984878369494,0.02759718149840858,2.574317919659308,0.0,0.0,0,1,0,0,0,0,0.3504421768707481,4.567099647791355,0.0,0.3537043135274119,0,6.084921014774785,0,0,0.0,2.56723970143613,0.0,0.0,0,0,0,4.567099647791355,0,1,0,0,0,3.06303122718083,0.0,0,5.416535723715493,16.74788698495495,0,2,1.411798373408898,0,0.0,0,0,75.98649581171892,0.0,2.405871651129588,0,0,1.12,1,0.0,0,0.0,2,0.6180907552970524,0,0,0.0,11.33289651555817,2.6,0,0.0,0,0.0,31.64,0.01199348162108467,18.38056849823537,0,0,1,0.0,0.5833333333333334,0.0,0.0,0.0,0,0,0,0,0,1.710411695966081,0,0,1,2.511285890808709,0,4.567099647791355,0,0,0,3,6.322000000000006,0.0,0,44.21231601223962,0,18.93844354913873,9.494561014708603,664987.1424521853,2,14.94942786807115,0,52.31487162707333,0,0,0.0,0.0,11.12690298339399,0,10.91038152452339,0,70.63304493990232,894.0891764544597,12.65822784810127,1.1509920712216768,0.04861916251211795,1.1023729087095586,1,1,1,1
528.44325263218,0.0,0.0,0,0,0,0,0.4296494105587354,0,33.49577396990991,0,6,0,0.0,98.57185621692173,0,27.22269543063804,-2.469845058357347,0.0,2,90.16227240298683,9.374572387765228,7.534827179741789,6,0,0,48.53093654769288,8.966061715389248,0.0,0.0,118.2640476765454,-2.570517086924708,3.655882189183588,0.1321598962435728,2.682798253750355,0.0,0.0,0,0,0,0,0,0,0.4296494105587354,8.966061715389248,9.825937407060971,0.2930725743873615,0,10.86636094498406,0,0,11.37477254936712,2.584471926061785,11.37477254936712,0.0,0,0,0,40.27436958900468,0,0,0,0,0,3.412805476470516,0.0,0,5.484711748043846,33.74364353588304,0,4,1.766502445743767,0,0.0,0,0,91.19425591909379,0.0,2.020151197669513,0,0,0.5641025641025641,2,0.0,0,0.0,2,0.3285394231379137,0,0,40.27436958900468,33.49577396990991,1.153846153846154,0,0.0,0,28.19068793070876,36.56410256410256,0.07359663479233358,6.42082162292601,0,0,2,0.0,0.6756756756756757,0.0,8.966061715389248,0.0,0,0,0,0,0,1.156405779851839,0,0,4,2.670743012800814,0,0.0,0,2,0,4,8.840800000000005,0.0,0,61.02660527031718,0,23.67162418464558,9.680919227135966,459191993.9711307,4,15.36101173216274,0,65.80789147199017,0,0,11.37477254936712,0.0,0.0,0,15.32736940690484,0,18.90816681541091,14.5592884478664,0.7700000000000001,1.7233505748325848,1.8368598496601032,-0.11350927482751805,0,0,0,0
328.29987663609,0.0,0.0,0,0,0,0,0.3802210884353738,0,11.33289651555817,0,3,0,0.0,71.13195342895072,0,10.40093690385602,-2.560380670350534,0.0,1,59.6244435285146,6.819360932644663,5.69068136127908,3,0,0,18.19910120538483,0.0,0.0,4.483030857694624,67.03706595217888,-2.552272627118884,3.049801780155555,0.08373443832014982,2.572702580647616,0.0,0.0,0,0,0,0,0,0,0.3802210884353738,0.0,7.09191157868106,0.3304540372829667,0,6.275873876401047,0,0,0.0,2.589341563786008,0.0,0.0,0,0,0,32.17080321163877,0,1,0,0,0,2.438290333985432,0.0,0,5.416434189394514,16.74788698495495,0,2,1.462168361165249,0,0.0,0,0,75.98649581171892,0.0,1.08554007443708,0,0,1.125,1,0.0,0,0.0,1,0.6402829083318621,0,0,27.68777235394414,11.33289651555817,2.458333333333333,0,0.0,0,27.68777235394414,33.25,-0.8778194190700686,11.83581209232279,0,0,1,0.0,0.7391304347826086,0.0,0.0,0.0,0,0,0,0,0,2.002456526352076,0,0,1,2.529044342094073,0,4.483030857694624,0,1,0,3,5.526500000000006,0.0,0,44.21231601223963,0,5.41499046939678,9.493121969001452,149913.4046044263,2,15.28234254758229,0,52.31487162707333,0,0,0.0,0.0,11.12690298339399,0,11.09572932066664,0,43.52245819713544,72.43597937705059,1.664335664335664,1.3612865831788634,1.1400456635874134,0.22124091959145004,0,0,0,0
204.187800768,0.0,0.0,0,0,0,0,0.5897222222222221,0,22.16287745435173,0,3,0,0.0,59.79905691339255,0,5.917906046161393,-2.447502239431191,0.0,0,61.1907227686724,9.707083333333333,3.546851851851852,0,0,0,11.64912463690315,0.0,0.0,0.0,33.77096890559638,-2.359851549851862,0.9051709468299464,0.002887683715738602,2.76436992734443,0.0,0.0,0,0,0,0,0,0,0.5897222222222221,0.0,0.0,0.08500690779468095,0,5.757208335008739,0,0,0.0,2.593171296296296,0.0,0.0,0,0,0,0.0,0,0,0,0,0,2.495792136163892,0.0,0,5.305301544544982,16.24497140819034,0,3,0.9802314814814812,0,0.0,0,0,59.79905691339255,0.0,0.0,0,0,1.2,0,0.0,0,0.0,0,0.5074101063945532,2,0,0.0,22.16287745435173,2.533333333333333,0,0.0,0,0.0,51.46666666666667,0.1143822731824587,0.0,0,0,0,0.0,0.8666666666666667,0.0,0.0,0.0,0,0,0,0,0,2.171531060024373,0,0,2,2.678167274760382,0,0.0,0,0,0,0,4.559100000000004,0.0,0,32.10410811463005,0,0.0,9.593268195930362,3204.597102834437,3,14.7192347087321,0,32.42033623597502,0,0,0.0,0.0,5.573104530069267,0,10.01583333333333,0,4.893349448764185,37.67879075548422,7.7,2.3103937688607616,1.4239030436882798,0.8864907251724818,0,0,1,0
221.214349864,0.0,0.0,0,0,0,0,0.572337962962963,0,29.58953023080696,0,4,0,0.0,51.49050776639464,0,29.58953023080696,-2.645721232483506,0.0,1,75.7889823107914,7.645309429327286,0.572337962962963,2,0,0,0.0,0.0,0.0,0.0,32.84272809558611,-2.642749655592494,1.331755387354246,0.02415514893600834,2.612531451513279,0.0,0.0,0,0,0,0,0,0,0.572337962962963,4.899909730850478,4.671666666666667,0.3034038667070609,0,5.865054797160389,0,0,0.0,2.599351851851852,0.0,0.0,0,0,0,24.53417894858821,0,0,0,0,0,2.138846939728574,0.0,0,5.110395330408219,5.538925252383345,0,4,5.014953703703704,0,0.0,0,0,45.95158251401131,0.0,0.0,0,0,1.0,0,0.0,0,0.0,0,0.6905930905986184,0,0,0.0,29.58953023080696,2.0,0,0.0,0,14.09534396535438,50.625,-0.1352641587483721,0.0,0,0,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1.982437104840194,0,0,4,2.578796827371628,0,4.899909730850478,0,0,0,0,3.398900000000002,0.0,0,12.84164324585202,0,5.538925252383345,9.459019380963689,4703.324420463135,4,15.16380082183148,0,13.84747439938125,0,0,0.0,0.0,19.26246486877803,0,4.913047052154195,0,37.03285468865513,100.0004516936253,12.426774191540296,1.43141280894043,0.9999980383239406,1.0943584067887773,0,0,1,1
446.45890269618,0.0,0.0,0,0,0,0,0.5432308210510737,0,33.49577396990991,0,4,0,0.0,117.8343210856998,0,23.91949375061871,-2.4772026580666,0.0,2,74.03236601452444,14.4916192655274,2.184127470091298,9,0,0,0.0,0.0,0.0,8.966061715389248,69.73311112885249,-2.565224041654418,3.470069678502657,0.09480154751355077,2.679014399768647,0.0,0.0,0,0,3,0,0,0,0.5432308210510737,0.0,10.18361802183522,0.3255733210758452,0,10.14030341075288,0,0,0.0,2.627117384182923,0.0,0.0,0,0,0,62.32994411621907,0,0,0,0,0,3.214947253123124,0.0,0,5.11718734403878,21.65996187758712,0,4,1.930720384526508,0,0.0,0,0,105.7506394274039,0.0,2.517629791177771,0,0,0.5625,0,0.0,0,0.0,0,0.2609227801240689,0,0,53.36388240082982,33.49577396990991,1.15625,0,0.0,0,41.28020074253391,42.1875,-0.9229015704343101,0.0,0,0,2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1.219066029523398,0,0,4,2.665273775695772,0,8.966061715389248,0,2,0,4,7.129200000000009,0.0,0,86.2637907564745,0,23.67162418464558,9.68129265007358,8610750.760455066,4,15.35393759886982,0,41.54242319814374,0,0,0.0,0.0,0.0,0,18.2872161632852,0,223.8087777802645,161.1423200017905,0.72,0.6501228844440621,0.7927903880127936,-0.14266750356873156,1,0,0,0
263.261300056,0.0,0.0,0,0,0,0,0.549375,0,23.16870860788096,0,4,0,0.0,77.17379425809868,0,17.75371813848418,-2.700930124453919,0.0,1,82.20980393371741,13.39652777777778,1.195625,5,0,0,0.0,0.0,0.0,0.0,32.8427280955861,-2.691880443306609,1.761624199975849,0.02671463275086111,2.68102110340748,0.0,0.0,0,0,0,0,0,0,0.549375,4.899909730850478,4.764305555555556,0.3031360370240955,0,6.875588634499458,0,0,0.0,2.669444444444444,0.0,0.0,0,0,0,24.5341789485882,0,0,0,0,0,2.346756728159584,0.0,0,5.173521660887006,10.95391572178012,0,4,3.156967120181405,0,0.0,0,0,71.63486900571534,0.0,0.0,0,0,0.8947368421052632,0,0.0,0,0.0,0,0.6938969414065645,0,0,0.0,23.16870860788096,1.842105263157895,0,0.0,0,14.09534396535438,43.10526315789474,-0.1898744051024319,0.0,0,0,1,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,2.033886977853108,0,0,4,2.643795306416335,0,4.899909730850478,0,0,0,0,4.713300000000005,0.0,0,38.52492973755606,0,5.538925252383345,9.394718960493426,22578.14648162336,4,15.17632816987415,0,26.68911764523327,0,0,0.0,0.0,19.26246486877803,0,4.817130102040816,0,53.00034159486848,99.99999999999999,8.832384566729916,1.2757213312994309,1.0,0.946077970209932,0,0,1,1
416.413049664,0.0,0.0,0,0,0,0,0.5413507055464577,0,33.49577396990991,0,4,0,0.0,117.8343210856998,0,23.91949375061871,-2.432559724251623,0.0,2,112.0472037304975,14.31350014411158,2.168815257051812,9,0,0,0.0,0.0,0.0,0.0,65.43758662519906,-2.454692882868927,3.248563586111441,0.01539980686982168,2.670045717169999,0.0,0.0,0,0,3,0,0,0,0.5413507055464577,9.799819461700956,4.829463331905265,0.3028453536435101,0,9.043384613602358,0,0,0.0,2.741288643582114,0.0,0.0,0,0,0,49.0683578971764,0,0,0,0,0,3.208016528781523,0.0,0,5.137752931772813,21.65996187758712,0,4,1.922548514309184,0,0.0,0,0,105.7506394274039,0.0,0.0,0,0,0.6,0,0.0,0,0.0,0,0.379590592721592,0,0,0.0,33.49577396990991,1.233333333333333,0,0.0,0,27.18485677717953,43.4,0.05522979123943213,0.0,0,0,2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1.149013843848673,0,0,4,2.625182033708714,0,9.799819461700956,0,0,0,4,6.840000000000009,0.0,0,77.29772904108526,0,12.08368165829592,9.685882295475244,4892138.589945545,4,15.16048911264968,0,54.38406644399575,0,0,0.0,0.0,0.0,0,17.9788907594322,0,110.1406152517157,110.1406152517157,1.0,0.9580525018543837,0.9580525018543837,0.0,1,0,0,0
430.428699728,0.0,0.0,0,0,0,0,0.5435430340905595,0,33.49577396990991,0,4,0,0.0,124.2551427086258,0,23.91949375061871,-2.431568223025765,0.0,2,112.0472037304975,15.77921250099999,2.176475883586611,10,0,0,0.0,0.0,0.0,0.0,65.43758662519906,-2.453482299438783,3.651585439293148,0.01539980686976935,2.670023592886438,0.0,0.0,0,0,4,0,0,0,0.5435430340905595,9.799819461700956,4.831441871859163,0.3028453536690731,0,9.220161308898993,0,0,0.0,2.742324258545225,0.0,0.0,0,0,0,49.0683578971764,0,0,0,0,0,3.234404287389667,0.0,0,5.13765734573533,21.65996187758712,0,4,1.925660261817004,0,0.0,0,0,112.1714610503299,0.0,0.0,0,0,0.5806451612903226,0,0.0,0,0.0,0,0.3372330308181192,0,0,0.0,33.49577396990991,1.225806451612903,0,0.0,0,27.18485677717953,42.38709677419355,0.05615714824331806,0.0,0,0,2,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1.109559074819464,0,0,4,2.625109226977481,0,9.799819461700956,0,0,0,4,7.230100000000009,0.0,0,83.71855066401129,0,12.08368165829592,9.685969793969653,7979783.178463429,4,15.15980771577602,0,60.80488806692176,0,0,0.0,0.0,0.0,0,17.9928235764317,0,40.3930663212363,1160.72029658725,28.73563218390805,1.3936931773859451,-0.06472757866747392,1.4584207560534193,0,1,1,1
